iter	Logloss
0	0.6629059872
1	0.6366674391
2	0.6129246599
3	0.5904242047
4	0.5710496805
5	0.552465872
6	0.5304920261
7	0.5116009728
8	0.4960424908
9	0.4800837113
10	0.4664087845
11	0.4522165072
12	0.4402090299
13	0.4267887697
14	0.4158565715
15	0.4037427999
16	0.3945122153
17	0.3838812877
18	0.3745606762
19	0.3665089753
20	0.3576761537
21	0.3499029644
22	0.3426549621
23	0.3368303978
24	0.3315136408
25	0.3257174993
26	0.3195024393
27	0.313847558
28	0.3078545005
29	0.3025832354
30	0.2979458566
31	0.2933305126
32	0.2887083409
33	0.2845814592
34	0.2812033443
35	0.277677064
36	0.2739923768
37	0.2708693424
38	0.2672527249
39	0.2639114121
40	0.2607217304
41	0.2578953888
42	0.2553106793
43	0.2527455993
44	0.2503649178
45	0.2481231172
46	0.2456411588
47	0.2430676994
48	0.2407375788
49	0.2388557563
50	0.237080823
51	0.2351927676
52	0.2327117403
53	0.2309613503
54	0.2289379055
55	0.2269094693
56	0.2248393689
57	0.2230850737
58	0.221707024
59	0.2198804952
60	0.2182263649
61	0.217029481
62	0.215643414
63	0.2144722243
64	0.2130225359
65	0.211253913
66	0.210116603
67	0.2088719772
68	0.2076888392
69	0.206574495
70	0.2056796058
71	0.2044976962
72	0.2034468829
73	0.2022397575
74	0.2011863062
75	0.199956215
76	0.1992186336
77	0.1981567124
78	0.1973531691
79	0.1965484231
80	0.1955503302
81	0.1946020482
82	0.193525463
83	0.1926822856
84	0.1918469962
85	0.1910015429
86	0.1904403299
87	0.1897070416
88	0.1889108949
89	0.1881960077
90	0.1870259948
91	0.1864354796
92	0.1856401476
93	0.1848336818
94	0.1843573101
95	0.1836332806
96	0.182945148
97	0.1822274677
98	0.1816963325
99	0.1810743946
100	0.1805244575
101	0.1799471322
102	0.179335397
103	0.1787928694
104	0.1781617245
105	0.1776060331
106	0.177084092
107	0.17656025
108	0.1760697575
109	0.1755167428
110	0.1745717841
111	0.1739095138
112	0.1733031321
113	0.1729196839
114	0.1722981986
115	0.1718818147
116	0.1714714955
117	0.1710916422
118	0.1706186586
119	0.170189615
120	0.1696179535
121	0.1690829261
122	0.168523963
123	0.168068527
124	0.1675154217
125	0.1670592357
126	0.1666073686
127	0.1662071616
128	0.1656114999
129	0.1649152853
130	0.1644334179
131	0.1638513597
132	0.1634370448
133	0.162965781
134	0.1626262083
135	0.1623088513
136	0.1619515758
137	0.1616476803
138	0.1613039954
139	0.1608689777
140	0.1603198682
141	0.1600802405
142	0.1597217883
143	0.1593748448
144	0.1590966823
145	0.1586787596
146	0.1582985829
147	0.1580397008
148	0.1576684208
149	0.1573397879
150	0.1570029307
151	0.1566821341
152	0.1562464569
153	0.1559896437
154	0.1557181665
155	0.1554076761
156	0.1551100262
157	0.1548122083
158	0.1544702304
159	0.154164602
160	0.1538530253
161	0.1535616859
162	0.1531570435
163	0.152920959
164	0.1525247348
165	0.1522901373
166	0.1520785833
167	0.1517121913
168	0.1513911102
169	0.1511154692
170	0.1509516829
171	0.1505848771
172	0.1503007921
173	0.1500703973
174	0.1497753467
175	0.1495153912
176	0.1492137327
177	0.1489259364
178	0.148628778
179	0.1482785888
180	0.1480182583
181	0.1477781522
182	0.1475219985
183	0.1472760863
184	0.1470793643
185	0.1468712758
186	0.1465592336
187	0.1462000701
188	0.1459829815
189	0.1456335035
190	0.1453409874
191	0.145130067
192	0.1447930546
193	0.144522974
194	0.1442077895
195	0.1440155676
196	0.1437735606
197	0.1435104499
198	0.1432679774
199	0.1430568113
200	0.1427438251
201	0.1425523532
202	0.1422880011
203	0.1420889644
204	0.1418456643
205	0.1416567786
206	0.1414119914
207	0.1411952003
208	0.1409982843
209	0.1407871311
210	0.1405705597
211	0.1403960406
212	0.1400698128
213	0.1398521165
214	0.1395937645
215	0.1394267195
216	0.1392173896
217	0.1388837782
218	0.1386520644
219	0.1384555493
220	0.1382579222
221	0.138055782
222	0.1378627712
223	0.1376474413
224	0.1373334852
225	0.1371273235
226	0.1368861958
227	0.1366945558
228	0.1365022562
229	0.13633225
230	0.1360746093
231	0.1358995341
232	0.1356360225
233	0.1354189081
234	0.1352241645
235	0.1350537963
236	0.1348525742
237	0.1346946199
238	0.1344393973
239	0.1342369468
240	0.1340892468
241	0.1338071144
242	0.1336180348
243	0.1334362095
244	0.1332054526
245	0.1330467353
246	0.1328629057
247	0.132617472
248	0.13239031
249	0.1322150667
250	0.1320274612
251	0.1318704379
252	0.1316792246
253	0.1314771491
254	0.1312010684
255	0.1309695874
256	0.1307873742
257	0.1305753805
258	0.13040262
259	0.1301130262
260	0.129942283
261	0.1298270662
262	0.1295177136
263	0.1293307676
264	0.1291876971
265	0.1290731915
266	0.1289546902
267	0.1287663088
268	0.1286184796
269	0.1284843574
270	0.1283417007
271	0.1280961635
272	0.1280025935
273	0.1278375658
274	0.1276758614
275	0.1275013552
276	0.1274114318
277	0.1272647534
278	0.1271217217
279	0.1269160384
280	0.1267276958
281	0.1265009993
282	0.1263469243
283	0.1261492713
284	0.12601555
285	0.1258935314
286	0.1257619308
287	0.1255468336
288	0.125309262
289	0.1251317687
290	0.1249978534
291	0.124871102
292	0.1247201176
293	0.1245508226
294	0.124390476
295	0.1242975009
296	0.1240978952
297	0.123994032
298	0.1238776514
299	0.1237679433
300	0.1235550573
301	0.1232951665
302	0.1231619625
303	0.1229630551
304	0.1227947946
305	0.1226374093
306	0.1224825972
307	0.1223330094
308	0.1222237021
309	0.122105175
310	0.1219196643
311	0.1217078775
312	0.121559337
313	0.1213672832
314	0.1211910959
315	0.1210046542
316	0.1209305327
317	0.1208247427
318	0.1206916163
319	0.1205203687
320	0.1203631773
321	0.1201548302
322	0.1200231778
323	0.1198770943
324	0.1197568085
325	0.1196226217
326	0.1194864823
327	0.1193363513
328	0.1191229222
329	0.1189906751
330	0.118779871
331	0.118645723
332	0.118533739
333	0.1184020737
334	0.1182785293
335	0.1181422864
336	0.1180216644
337	0.1178597402
338	0.1177029367
339	0.1175851596
340	0.1174689859
341	0.1173508466
342	0.1172740613
343	0.1171478789
344	0.1170706797
345	0.116965032
346	0.1167754092
347	0.1166294292
348	0.1164940268
349	0.1163435467
350	0.1161333504
351	0.1159727711
352	0.1157812862
353	0.1156420174
354	0.1154614077
355	0.1153283588
356	0.1151696027
357	0.1150148295
358	0.1148708796
359	0.1147233607
360	0.1145994283
361	0.1144211591
362	0.1143067441
363	0.1141862772
364	0.1140164391
365	0.1138206999
366	0.1137091944
367	0.1136142795
368	0.113472528
369	0.1133761907
370	0.113235965
371	0.1131594383
372	0.1130123203
373	0.1128935862
374	0.1127554942
375	0.1126124495
376	0.1125106424
377	0.1124230854
378	0.1123583002
379	0.1121804965
380	0.112064853
381	0.1119212522
382	0.1118255615
383	0.1116898876
384	0.1115622828
385	0.1114591954
386	0.111286978
387	0.1111340539
388	0.1110042507
389	0.1109035298
390	0.1107337952
391	0.1105582544
392	0.1104191926
393	0.1102694754
394	0.1101039175
395	0.1100115243
396	0.1099134801
397	0.109760181
398	0.1096466064
399	0.1095558167
400	0.1094480094
401	0.1093792414
402	0.1092664557
403	0.1091321137
404	0.1090324014
405	0.1088814687
406	0.1087341567
407	0.1085617583
408	0.1084910247
409	0.1083310337
410	0.1082371987
411	0.1080888328
412	0.1079540382
413	0.1077973059
414	0.1077027078
415	0.1076107607
416	0.1075221627
417	0.1074438386
418	0.1073187359
419	0.1072042174
420	0.1071175527
421	0.1070625434
422	0.1069227445
423	0.1068196378
424	0.1066790629
425	0.1065186064
426	0.1064047215
427	0.1062666618
428	0.1061255762
429	0.1060578815
430	0.1059572511
431	0.1058840089
432	0.1057290934
433	0.1056545452
434	0.1055643373
435	0.1054835821
436	0.1053684687
437	0.1052448208
438	0.1051367356
439	0.1050158097
440	0.10489286
441	0.1048147234
442	0.1046924914
443	0.104602193
444	0.1044958535
445	0.1043407893
446	0.1041925721
447	0.1040890968
448	0.1039572376
449	0.1038103847
450	0.1036704694
451	0.1035571147
