iter	Passed	Remaining
467	736	836
468	737	834
469	738	833
470	740	831
471	741	829
472	742	827
473	744	825
474	745	824
475	747	822
476	748	820
477	749	818
478	751	817
479	752	815
480	754	813
481	755	811
482	756	810
483	758	808
484	759	806
485	761	804
486	762	803
487	763	801
488	765	799
489	766	797
490	767	796
491	769	794
492	770	792
493	772	790
494	773	789
495	774	787
496	776	785
497	777	783
498	778	781
499	780	780
500	781	778
501	782	776
502	784	774
503	785	773
504	786	771
505	788	769
506	789	767
507	791	766
508	792	764
509	793	762
510	795	761
511	796	759
512	798	757
513	799	755
514	800	754
515	802	752
516	803	750
517	804	749
518	806	747
519	807	745
520	809	743
521	810	742
522	811	740
523	813	738
524	814	737
525	815	735
526	817	733
527	818	731
528	820	730
529	821	728
530	822	726
531	824	725
532	825	723
533	826	721
534	828	719
535	829	718
536	831	716
537	832	714
538	834	713
539	835	711
540	836	709
541	838	708
542	839	706
543	840	704
544	842	703
545	843	701
546	845	699
547	846	698
548	847	696
549	849	694
550	850	693
551	852	691
552	853	689
553	854	688
554	856	686
555	857	684
556	858	683
557	860	681
558	861	679
559	862	678
560	864	676
561	865	674
562	867	672
563	868	671
564	869	669
565	871	667
566	872	666
567	873	664
568	875	662
569	876	661
570	877	659
571	879	657
572	880	656
573	882	654
574	883	652
575	884	651
576	886	649
577	887	648
578	888	646
579	890	644
580	891	643
581	892	641
582	894	639
583	895	638
584	897	636
585	898	634
586	899	633
587	901	631
588	902	629
589	903	628
590	905	626
591	906	624
592	908	623
593	909	621
594	910	619
595	912	618
596	913	616
597	914	614
598	916	613
599	917	611
600	918	610
601	920	608
602	921	606
603	923	605
604	924	603
605	925	601
606	927	600
607	928	598
608	929	597
609	931	595
610	932	593
611	933	592
612	935	590
613	936	588
614	938	587
615	939	585
616	940	584
617	942	582
618	943	580
619	944	579
620	946	577
621	947	575
622	949	574
623	950	572
624	951	571
625	953	569
626	954	567
627	956	566
628	957	564
629	958	563
630	960	561
631	961	559
632	962	558
633	964	556
634	965	555
635	966	553
636	968	551
637	969	550
638	971	548
639	972	547
640	973	545
641	975	543
642	976	542
643	978	540
644	979	539
645	980	537
646	982	535
647	983	534
648	984	532
649	986	531
650	987	529
651	988	527
652	990	526
653	991	524
654	993	523
655	994	521
656	995	519
657	997	518
658	998	516
659	999	515
660	1001	513
661	1002	511
662	1004	510
663	1005	508
664	1006	507
665	1008	505
666	1009	503
667	1010	502
668	1012	500
669	1013	499
670	1014	497
671	1016	496
672	1017	494
673	1019	492
674	1020	491
675	1021	489
676	1023	488
677	1024	486
678	1025	485
679	1027	483
680	1028	481
681	1030	480
682	1031	478
683	1032	477
684	1034	475
685	1035	474
686	1037	472
687	1038	470
688	1039	469
689	1041	467
690	1042	466
691	1043	464
692	1045	463
693	1046	461
694	1048	460
695	1049	458
696	1051	456
697	1052	455
698	1053	453
699	1055	452
700	1056	450
701	1057	449
702	1059	447
703	1060	446
704	1062	444
705	1063	442
706	1064	441
707	1066	439
708	1067	438
709	1069	436
710	1070	435
711	1071	433
712	1073	431
713	1074	430
714	1075	428
715	1077	427
716	1078	425
717	1080	424
718	1081	422
719	1082	421
720	1084	419
721	1085	417
722	1086	416
723	1088	414
724	1089	413
725	1091	411
726	1092	410
727	1093	408
728	1095	407
729	1096	405
730	1097	404
731	1099	402
732	1100	400
733	1102	399
734	1103	397
735	1104	396
736	1106	394
737	1107	393
738	1108	391
739	1110	390
740	1111	388
741	1112	386
742	1114	385
743	1115	383
744	1117	382
745	1118	380
746	1119	379
747	1121	377
748	1122	376
749	1123	374
750	1125	373
751	1126	371
752	1128	370
753	1129	368
754	1130	366
755	1132	365
756	1133	363
757	1134	362
758	1136	360
759	1137	359
760	1139	357
761	1140	356
762	1141	354
763	1143	353
764	1144	351
765	1146	350
766	1147	348
767	1148	347
768	1150	345
769	1151	344
770	1153	342
771	1154	340
772	1155	339
773	1157	337
774	1158	336
775	1160	334
776	1161	333
777	1162	331
778	1164	330
779	1165	328
780	1166	327
781	1168	325
782	1169	324
783	1171	322
784	1172	321
785	1173	319
786	1175	318
787	1176	316
788	1178	315
789	1179	313
790	1180	312
791	1182	310
792	1183	308
793	1184	307
794	1186	305
795	1187	304
796	1189	302
797	1190	301
798	1191	299
799	1193	298
800	1194	296
801	1196	295
802	1197	293
803	1198	292
804	1200	290
805	1201	289
806	1203	287
807	1204	286
808	1205	284
809	1207	283
810	1208	281
811	1210	280
812	1211	278
813	1212	277
814	1214	275
815	1215	274
816	1216	272
817	1218	271
818	1219	269
819	1220	268
820	1222	266
821	1223	264
822	1225	263
823	1226	261
824	1227	260
825	1229	258
826	1230	257
827	1232	255
828	1233	254
829	1234	252
830	1236	251
831	1237	249
832	1238	248
833	1240	246
834	1241	245
835	1243	243
836	1244	242
837	1246	240
838	1247	239
839	1248	237
840	1250	236
841	1251	234
842	1253	233
843	1254	231
844	1255	230
845	1257	228
846	1258	227
847	1260	225
848	1261	224
849	1262	222
850	1264	221
851	1265	219
852	1266	218
853	1268	216
854	1269	215
855	1271	213
856	1272	212
857	1273	210
858	1275	209
859	1276	207
860	1278	206
861	1279	204
862	1280	203
863	1282	201
864	1283	200
865	1285	198
866	1286	197
867	1287	195
868	1289	194
869	1290	192
870	1291	191
871	1293	189
872	1294	188
873	1296	186
874	1297	185
875	1298	183
876	1300	182
877	1301	180
878	1303	179
879	1304	177
880	1305	176
881	1307	174
882	1308	173
883	1309	171
884	1311	170
885	1312	168
886	1314	167
887	1315	165
888	1316	164
889	1318	162
890	1319	161
891	1321	159
892	1322	158
893	1323	156
894	1325	155
895	1326	153
896	1327	152
897	1329	151
898	1330	149
899	1332	148
900	1333	146
901	1334	145
902	1336	143
903	1337	142
904	1338	140
905	1340	139
906	1341	137
907	1343	136
908	1344	134
909	1346	133
910	1347	131
911	1349	130
912	1350	128
913	1351	127
914	1353	125
915	1354	124
916	1356	122
917	1357	121
918	1358	119
919	1360	118
920	1361	116
921	1363	115
922	1364	113
923	1365	112
924	1367	110
925	1368	109
926	1369	107
927	1371	106
928	1372	104
929	1374	103
930	1375	101
931	1376	100
932	1378	98
933	1379	97
934	1380	95
935	1382	94
936	1383	93
937	1385	91
938	1386	90
939	1387	88
940	1389	87
941	1390	85
942	1392	84
943	1393	82
944	1394	81
945	1396	79
946	1398	78
947	1399	76
948	1400	75
949	1402	73
950	1403	72
951	1405	70
952	1406	69
953	1407	67
954	1409	66
955	1410	64
956	1411	63
957	1413	61
958	1414	60
959	1416	59
960	1417	57
961	1418	56
962	1420	54
963	1421	53
964	1423	51
965	1424	50
966	1425	48
967	1427	47
968	1428	45
969	1430	44
970	1431	42
971	1433	41
972	1434	39
973	1435	38
974	1437	36
975	1438	35
976	1439	33
977	1441	32
978	1442	30
979	1444	29
980	1445	28
981	1447	26
982	1448	25
983	1449	23
984	1451	22
985	1452	20
986	1454	19
987	1455	17
988	1456	16
989	1458	14
990	1459	13
991	1460	11
992	1462	10
993	1463	8
994	1465	7
995	1466	5
996	1468	4
997	1469	2
998	1470	1
999	1472	0
